team_name,league,country,team_id,tier
GAZ Metan Medias,Liga I,Romania,177,3
Viitorul Constanta,Liga I,Romania,178,3
Crişul Chişineu Criş,Liga I,Romania,179,3
Gloria Lunca Teuz Cermei,Liga I,Romania,180,3
CS Mioveni,Liga I,Romania,181,3
Lyon,Ligue 1,France,182,1
Monaco,Ligue 1,France,183,1
Amiens,Ligue 1,France,184,1
Angers,Ligue 1,France,185,1
Bordeaux,Ligue 1,France,186,1
Dijon,Ligue 1,France,187,1
Marseille,Ligue 1,France,188,1
Montpellier,Ligue 1,France,189,1
Nice,Ligue 1,France,190,1
Reims,Ligue 1,France,191,1
Rennes,Ligue 1,France,192,1
Saint Etienne,Ligue 1,France,193,1
Stade Brestois 29,Ligue 1,France,194,1
Toulouse,Ligue 1,France,195,1
Lille,Ligue 1,France,196,1
Metz,Ligue 1,France,197,1
Nantes,Ligue 1,France,198,1
Nimes,Ligue 1,France,199,1
Paris Saint Germain,Ligue 1,France,200,1
Strasbourg,Ligue 1,France,201,1
Kisvarda FC,Nemzeti Bajnokság,Hungary,202,3
Mezokovesd-zsory,Nemzeti Bajnokság,Hungary,203,3
Paks,Nemzeti Bajnokság,Hungary,204,3
Puskas Academy,Nemzeti Bajnokság,Hungary,205,3
Ujpest,Nemzeti Bajnokság,Hungary,206,3
Zalaegerszegi TE,Nemzeti Bajnokság,Hungary,207,3
Budapest Honved,Nemzeti Bajnokság,Hungary,208,3
Diosgyori VTK,Nemzeti Bajnokság,Hungary,209,3
Fehérvár FC,Nemzeti Bajnokság,Hungary,210,3
Kaposvar,Nemzeti Bajnokság,Hungary,211,3
Debreceni VSC,Nemzeti Bajnokság,Hungary,212,3
Ferencvarosi TC,Nemzeti Bajnokság,Hungary,213,3
Liverpool,Premier League,England,214,1
Norwich,Premier League,England,215,1
Aston Villa,Premier League,England,216,1
Bournemouth,Premier League,England,217,1
Brighton,Premier League,England,218,1
Burnley,Premier League,England,219,1
Crystal Palace,Premier League,England,220,1
Everton,Premier League,England,221,1
Manchester City,Premier League,England,222,1
Sheffield Utd,Premier League,England,223,1
Southampton,Premier League,England,224,1
Tottenham,Premier League,England,225,1
Watford,Premier League,England,226,1
West Ham,Premier League,England,227,1
Arsenal,Premier League,England,228,1
Chelsea,Premier League,England,229,1
Leicester,Premier League,England,230,1
Manchester United,Premier League,England,231,1
Newcastle,Premier League,England,232,1
Wolves,Premier League,England,233,1
Belenenses,Primeira Liga,Portugal,234,1
Portimonense,Primeira Liga,Portugal,235,1
Benfica,Primeira Liga,Portugal,236,1
FC Porto,Primeira Liga,Portugal,237,1
Famalicao,Primeira Liga,Portugal,238,1
GIL Vicente,Primeira Liga,Portugal,239,1
Pacos Ferreira,Primeira Liga,Portugal,240,1
Santa Clara,Primeira Liga,Portugal,241,1
Aves,Primeira Liga,Portugal,242,1
Boavista,Primeira Liga,Portugal,243,1
Maritimo,Primeira Liga,Portugal,244,1
Moreirense,Primeira Liga,Portugal,245,1
SC Braga,Primeira Liga,Portugal,246,1
Sporting CP,Primeira Liga,Portugal,247,1
Tondela,Primeira Liga,Portugal,248,1
Vitoria Setubal,Primeira Liga,Portugal,249,1
Rio Ave,Primeira Liga,Portugal,250,1
Guimaraes,Primeira Liga,Portugal,251,1
Celtic,Scottish Premiership,Scotland,252,2
Hamilton Academical,Scottish Premiership,Scotland,253,2
Hibernian,Scottish Premiership,Scotland,254,2
Livingston,Scottish Premiership,Scotland,255,2
Motherwell,Scottish Premiership,Scotland,256,2
Ross County,Scottish Premiership,Scotland,257,2
ST Johnstone,Scottish Premiership,Scotland,258,2
ST Mirren,Scottish Premiership,Scotland,259,2
Aberdeen,Scottish Premiership,Scotland,260,2
Heart Of Midlothian,Scottish Premiership,Scotland,261,2
Kilmarnock,Scottish Premiership,Scotland,262,2
Rangers,Scottish Premiership,Scotland,263,2
Fiorentina,Serie A,Italy,264,1
Juventus,Serie A,Italy,265,1
Napoli,Serie A,Italy,266,1
Parma,Serie A,Italy,267,1
AC Milan,Serie A,Italy,268,1
AS Roma,Serie A,Italy,269,1
Atalanta,Serie A,Italy,270,1
Bologna,Serie A,Italy,271,1
Brescia,Serie A,Italy,272,1
Cagliari,Serie A,Italy,273,1
Genoa,Serie A,Italy,274,1
Hellas Verona,Serie A,Italy,275,1
Lazio,Serie A,Italy,276,1
Sampdoria,Serie A,Italy,277,1
Sassuolo,Serie A,Italy,278,1
Spal,Serie A,Italy,279,1
Torino,Serie A,Italy,280,1
Udinese,Serie A,Italy,281,1
Inter,Serie A,Italy,282,1
Lecce,Serie A,Italy,283,1
Aris Thessalonikis,Super League Greece,Greece,284,3
Asteras Tripolis,Super League Greece,Greece,285,3
Lamia,Super League Greece,Greece,286,3
OFI,Super League Greece,Greece,287,3
Olympiakos Piraeus,Super League Greece,Greece,288,3
Panathinaikos,Super League Greece,Greece,289,3
AEK Athens FC,Super League Greece,Greece,290,3
Atromitos,Super League Greece,Greece,291,3
Larisa,Super League Greece,Greece,292,3
PAOK,Super League Greece,Greece,293,3
Panetolikos,Super League Greece,Greece,294,3
Panionios,Super League Greece,Greece,295,3
Volos NFC,Super League Greece,Greece,296,3
Xanthi FC,Super League Greece,Greece,297,3
Apollon Smirnis,Super League Greece,Greece,298,3
Denizlispor,Super Lig,Turkey,299,2
Galatasaray,Super Lig,Turkey,300,2
Alanyaspor,Super Lig,Turkey,301,2
