treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
5,2022/2023,2,0.44127919720531233,258,2021/2022,0.44202983785884115,0.0030440128725919557
453,2023/2024,2,0.6553593468235717,479,2024/2025,0.6384472863923297,0.07405015347843413
453,2023/2024,2,0.6553593468235717,13,2019/2020,0.6382209217576961,0.07503066563207672
96,2019/2020,3,0.2940593379639103,209,2023/2024,0.29402912737541453,0.0001455355291328786
96,2020/2021,3,0.3749181776490294,99,2024/2025,0.3729898304746771,0.008236857003629638
32,2020/2021,1,0.25701872998257197,154,2020/2021,0.2567103593406876,0.001615477525936937
32,2024/2025,1,0.2367840141662513,229,2023/2024,0.23688170434260217,0.0005404920086777842
28,2022/2023,1,0.2463450761564905,238,2022/2023,0.24614844150394077,0.001059400948550282
28,2022/2023,1,0.2463450761564905,388,2022/2023,0.24569721819494966,0.0034925963146725802
28,2022/2023,1,0.2463450761564905,224,2020/2021,0.2454908286487732,0.004606544015917091
18,2019/2020,1,0.1990704205934893,219,2019/2020,0.19924283260176975,0.0010809987327029535
18,2019/2020,1,0.1990704205934893,365,2024/2025,0.19940180308404332,0.002077098545132827
18,2020/2021,1,0.08205432883653946,38,2022/2023,0.08236498394918683,0.0041173014293716115
18,2020/2021,1,0.08205432883653946,154,2022/2023,0.0824990321723109,0.005889559711281134
18,2024/2025,1,0.11076753056803822,50,2020/2021,0.110800676685589,0.0003364712821314342
19,2022/2023,1,0.47143097407436196,412,2023/2024,0.4730877654836508,0.0066476343391680265
22,2022/2023,1,0.32276756548776747,151,2023/2024,0.3237036657747551,0.004279232697362301
22,2023/2024,1,0.2507777962802301,145,2021/2022,0.25067046364524237,0.000571339061062881
33,2019/2020,1,0.45086090705785664,195,2023/2024,0.4503398763847023,0.00210466714510954
33,2020/2021,1,0.5051599839921224,197,2019/2020,0.5082347271375575,0.012301218425985937
33,2021/2022,1,0.34684022062744524,145,2020/2021,0.34958873694292736,0.012110120899717525
311,2019/2020,2,0.42820667550269315,327,2020/2021,0.42575786406457017,0.010008716953312013
