treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
331,2021/2022,1,0.5893358807609769,356,2020/2021,0.5879242760443978,0.005829595917416164
302,2019/2020,2,0.13362327860013232,58,2023/2024,0.13413102362117776,0.004378851004848139
302,2021/2022,2,0.2849497098873791,426,2023/2024,0.28570093786712825,0.0036840306361619612
302,2023/2024,2,0.16034594470327623,54,2022/2023,0.16016124617337096,0.0013724848022453884
302,2023/2024,2,0.16034594470327623,54,2019/2020,0.15978569668172185,0.004167128055202252
302,2024/2025,2,0.2143309784455983,117,2019/2020,0.21452077720257987,0.0011267537729278132
302,2024/2025,2,0.2143309784455983,312,2022/2023,0.21375911108728657,0.0033993249396133685
243,2020/2021,1,0.3886681468010451,148,2019/2020,0.38890291882362327,0.0009879674358225232
243,2020/2021,1,0.3886681468010451,238,2024/2025,0.39010416616273735,0.006039674314289423
243,2021/2022,1,0.26112550510577404,142,2024/2025,0.262295505727449,0.006055343792652934
243,2023/2024,1,0.2984574823252564,193,2019/2020,0.29922143498689746,0.0036459542783993104
243,2024/2025,1,0.5793265858375309,232,2021/2022,0.5780993667414692,0.005033627194522328
509,2024/2025,2,0.4966224634264864,116,2024/2025,0.4960063883833075,0.002464434384294254
509,2024/2025,2,0.4966224634264864,117,2022/2023,0.5022753117796717,0.022611661713878843
38,2020/2021,1,0.17710309785529052,34,2019/2020,0.17691715151332932,0.0012764243243525986
38,2024/2025,1,0.3689166191290704,135,2023/2024,0.3692649325897958,0.0014957885821116346
38,2024/2025,1,0.3689166191290704,219,2021/2022,0.3692937487253707,0.0016195096529714181
272,2019/2020,1,0.6431638962857645,362,2023/2024,0.6545052901375062,0.049779334625697946
272,2019/2020,1,0.6431638962857645,409,2023/2024,0.656453911343312,0.058408209479136164
218,2022/2023,1,0.11561198595347759,138,2023/2024,0.11502310463050613,0.005772259054284579
393,2021/2022,3,0.5967366816788345,74,2020/2021,0.5960857711873687,0.002704185362257805
393,2021/2022,3,0.5967366816788345,69,2020/2021,0.5843853335842856,0.05108416820618128
85,2019/2020,2,0.226646382234882,306,2021/2022,0.22668406130783805,0.00021495511233471376
85,2024/2025,2,0.1304790195457907,57,2022/2023,0.13088194170291567,0.003546755869425988
208,2020/2021,3,0.4338556588474355,105,2023/2024,0.4330730886531879,0.0031867116284812202
208,2020/2021,3,0.4338556588474355,296,2023/2024,0.43202420378244333,0.007460021651786886
380,2020/2021,2,0.5480706641189539,13,2022/2023,0.5482205960565628,0.0006053404754099989
150,2019/2020,1,0.5679063237684726,277,2022/2023,0.5724270734165064,0.018446407972355527
241,2021/2022,1,0.4037404300580111,283,2024/2025,0.4045203810232238,0.0032388784737440446
241,2022/2023,1,0.4990833719658619,273,2023/2024,0.49913259696317136,0.00019690061588956663
447,2024/2025,1,0.5430601296803987,199,2020/2021,0.537733837714333,0.021445364124562022
167,2020/2021,3,0.07430256493933676,68,2021/2022,0.07364462193392421,0.009604855590915395
167,2020/2021,3,0.07430256493933676,106,2022/2023,0.07353211887362658,0.011255111249728778
167,2021/2022,3,0.09359313603957041,76,2021/2022,0.09402656387107369,0.0050985856262038
167,2023/2024,3,0.17200724567880793,293,2023/2024,0.17218713638708036,0.001262570467766233
167,2023/2024,3,0.17200724567880793,105,2024/2025,0.17118189524041785,0.005806208234726773
181,2022/2023,1,0.5854471227870195,219,2023/2024,0.5855737803851984,0.0005218948537393797
181,2022/2023,3,0.5854471227870195,378,2023/2024,0.5678413174103187,0.07212616521901388
