treated_club,treated_season,control_club,control_season,tier,hire_type,firing_mw,t_pre,t_post,c_pre,c_post,t_diff,c_diff,did
212,2022/2023,402,2021/2022,3,Permanent,8.0,-0.42857142857142855,0.75,0.42857142857142855,-0.6923076923076923,1.1785714285714286,-1.120879120879121,2.2994505494505493
212,2022/2023,80,2020/2021,3,Permanent,8.0,-0.42857142857142855,0.75,-0.14285714285714285,-0.75,1.1785714285714286,-0.6071428571428572,1.7857142857142858
212,2024/2025,101,2023/2024,3,,13.0,-1.375,-0.16666666666666666,0.6675,0.31500000000000006,1.2083333333333333,-0.3524999999999999,1.560833333333333
212,2024/2025,97,2021/2022,3,,13.0,-1.375,-0.16666666666666666,0.875,-0.4166666666666667,1.2083333333333333,-1.2916666666666667,2.5
212,2024/2025,205,2022/2023,3,,13.0,-1.375,-0.16666666666666666,0.375,0.0,1.2083333333333333,-0.375,1.5833333333333333
299,2019/2020,257,2021/2022,2,Permanent,22.0,-0.875,-0.6666666666666666,0.25,-0.09090909090909091,0.20833333333333337,-0.34090909090909094,0.5492424242424243
299,2020/2021,122,2019/2020,2,Interim,21.0,-0.875,-0.5454545454545454,-1.0,0.3333333333333333,0.3295454545454546,1.3333333333333333,-1.0037878787878787
157,2020/2021,280,2024/2025,1,Permanent,18.0,-0.25,-1.3333333333333333,-0.48,-0.5816666666666668,-1.0833333333333333,-0.1016666666666668,-0.9816666666666665
242,2019/2020,451,2022/2023,1,,11.0,-1.75,-0.6666666666666666,-1.25,-0.9050000000000001,1.0833333333333335,0.34499999999999986,0.7383333333333336
209,2024/2025,105,2019/2020,3,Permanent,21.0,0.25,-0.5,1.0,-0.4444444444444444,-0.75,-1.4444444444444444,0.6944444444444444
405,2022/2023,133,2019/2020,1,Permanent,15.0,-0.125,-1.3866666666666667,-0.875,-0.6363636363636364,-1.2616666666666667,0.23863636363636365,-1.5003030303030305
357,2020/2021,152,2020/2021,1,Permanent,23.0,-0.75,-0.5,0.25,-0.08333333333333333,0.25,-0.3333333333333333,0.5833333333333333
357,2021/2022,217,2019/2020,1,Permanent,15.0,-0.75,-0.08333333333333333,-0.375,-1.1666666666666667,0.6666666666666666,-0.7916666666666667,1.4583333333333335
357,2021/2022,367,2020/2021,1,Permanent,15.0,-0.75,-0.08333333333333333,-1.375,-1.3333333333333333,0.6666666666666666,0.04166666666666674,0.6249999999999999
357,2022/2023,273,2021/2022,1,Permanent,26.0,-0.6,-0.2658333333333333,-0.5,-1.0833333333333333,0.33416666666666667,-0.5833333333333333,0.9175
357,2022/2023,365,2020/2021,1,Permanent,26.0,-0.6,-0.2658333333333333,-0.125,-1.25,0.33416666666666667,-1.125,1.4591666666666667
357,2022/2023,230,2024/2025,1,Permanent,26.0,-0.6,-0.2658333333333333,-0.9125,-1.1824999999999999,0.33416666666666667,-0.2699999999999999,0.6041666666666665
357,2022/2023,149,2023/2024,1,Permanent,26.0,-0.6,-0.2658333333333333,0.03874999999999999,-0.8691666666666666,0.33416666666666667,-0.9079166666666666,1.2420833333333332
81,2019/2020,345,2020/2021,2,Permanent,14.0,-0.6666666666666666,-0.75,-1.5,-2.0,-0.08333333333333337,-0.5,0.41666666666666663
221,2019/2020,505,2024/2025,1,Permanent,18.0,-0.5,0.0,-0.6975,-0.8874999999999998,0.5,-0.18999999999999984,0.6899999999999998
